epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.076,1.13949,2.02204,1.44223,0.57918,0.4217,0.37402,0.25492,0.98815,1.10179,1.4133,0.000302769,0.000302769,0.000302769
2,806.291,1.10278,1.29842,1.38572,0.61414,0.38474,0.35639,0.24047,1.08092,1.13597,1.52226,0.000485827,0.000485827,0.000485827
3,1189.89,1.08181,1.1805,1.36778,0.5681,0.45358,0.4374,0.31176,0.93642,0.97432,1.35429,0.000548897,0.000548897,0.000548897
4,1576.51,1.04684,1.10945,1.33815,0.58785,0.54186,0.49978,0.36219,0.88482,0.87537,1.30908,0.000369054,0.000369054,0.000369054
5,1961.48,0.99069,1.03057,1.30422,0.63643,0.53541,0.56341,0.41707,0.84953,0.80862,1.26325,0.000189072,0.000189072,0.000189072
